,time,Vmag,Verr
762,2014.996645753425,0.644,0.013000000000000001
763,2014.9967276712332,0.597,0.01
764,2014.9967331506848,0.642,0.01
765,2014.9968246575343,0.641,0.012
766,2014.9968304109593,0.652,0.011000000000000001
767,2014.9968627397263,0.654,0.004
768,2014.9969443835612,0.634,0.019
769,2014.9969482191775,0.644,0.013000000000000001
770,2015.0158789041095,0.607,0.034
771,2015.0159835616432,0.621,0.02
772,2015.029396986302,0.604,0.022000000000000002
773,2015.0293989041093,0.61,0.008
774,2015.0294482191782,0.595,0.019
775,2015.0294673972596,0.648,0.015
776,2015.0294958904105,0.617,0.024
777,2015.0294978082193,0.616,0.039
778,2015.0295016438356,0.583,0.015
779,2015.0295052054798,0.627,0.01
780,2015.0295775342465,0.61,0.018000000000000002
781,2015.0295794520553,0.631,0.015
782,2015.0295832876716,0.608,0.015
783,2015.029587123288,0.62,0.034
784,2015.0296498630132,0.627,0.009000000000000001
785,2015.029651780822,0.619,0.018000000000000002
786,2015.0296556164383,0.618,0.025
787,2015.029809863013,0.621,0.021
788,2015.0298134246573,0.598,0.027999999999999997
789,2015.029815342466,0.643,0.027999999999999997
790,2015.032556986301,0.622,0.022000000000000002
791,2015.0325646575336,0.618,0.016
792,2015.0326484931504,0.64,0.024
793,2015.0349030136986,0.597,0.033
794,2015.035053150685,0.596,0.016
795,2015.0350569863012,0.646,0.046
796,2015.0546098630136,0.568,0.022000000000000002
797,2015.054617534246,0.588,0.016
798,2015.0546441095894,0.558,0.036000000000000004
799,2015.0704775342463,0.594,0.038
800,2015.070703835617,0.606,0.018000000000000002
801,2015.070741917808,0.599,0.011000000000000001
802,2015.07088849315,0.599,0.008
803,2015.07616630137,0.59,0.032
804,2015.0841038356166,0.593,0.019
805,2015.084107671233,0.593,0.018000000000000002
806,2015.0841172602743,0.592,0.022000000000000002
807,2015.0841684931506,0.598,0.038
808,2015.0841876712334,0.596,0.013999999999999999
809,2015.084353150685,0.583,0.01
