time,Mag
1980.3781420765024,8.2
1980.8532786885241,8.3
1980.9081967213112,8.3
1980.9109289617484,8.3
1980.9133879781416,8.5
1980.9289617486338,8.3
1980.9386338797815,8.6
1980.987158469945,8.3
1980.989890710382,8.3
1980.9926229508192,8.3
1980.997814207651,8.3
1981.0008219178078,8.3
1981.009589041096,9.0
1981.017808219178,8.5
1981.0205479452054,8.6
1981.0254794520542,8.3
1981.0290410958908,8.5
1981.0298630136983,8.4
1981.0306849315073,8.4
1981.0341643835623,8.7
1981.0342465753424,8.5
1981.0369863013698,8.5
1981.041643835617,8.4
1981.0424657534247,8.5
1981.045205479452,8.5
1981.058904109589,8.6
1981.0635616438362,8.6
1981.069808219178,8.7
1981.0698630136985,8.4
1981.072602739726,8.4
1981.077260273973,8.7
1981.0780821917808,8.4
1981.0835616438355,8.4
1981.0873972602737,8.4
1981.0882191780827,8.6
1981.0890410958905,8.5
1981.09095890411,8.4
1981.0917808219178,8.5
1981.0972602739726,8.4
1981.1027397260275,8.4
1981.1054794520549,8.6
1981.108136986302,8.7
1981.118356164384,8.3
1981.131780821918,8.5
1981.137260273973,8.5
1981.141095890411,8.4
1981.1419178082187,8.6
1981.1482191780824,8.6
1981.1484931506855,8.6
1981.1491780821923,8.7
1981.1536986301373,8.7
1981.1536986301373,8.5
1981.1575342465753,8.4
1981.1638356164378,8.4
1981.1657534246576,8.4
1981.1673972602741,8.5
1981.1683835616436,8.7
1981.172602739726,8.5
1981.1739726027397,8.5
1981.1750684931503,8.6
1981.1756164383564,8.5
1981.176712328767,8.8
1981.17698630137,8.4
1981.186301369863,8.4
1981.1875890410965,8.7
1981.190410958904,8.4
1981.1928767123286,8.4
1981.1939726027392,8.8
1981.2021917808213,8.3
1981.2030136986305,8.6
1981.203835616438,8.5
1981.2084931506852,8.5
1981.21397260274,8.7
1981.218630136986,8.5
1981.2202739726024,8.4
1981.2232876712328,8.4
1981.2249315068495,8.6
1981.231506849315,8.4
1981.2339726027394,8.5
1981.234054794521,8.9
1981.2367123287668,8.5
1981.2377260273972,8.8
1981.2441095890413,8.6
1981.2486027397267,9.5
1981.2506849315068,8.5
1981.2578082191783,8.6
1981.2605479452056,8.6
1981.2613698630134,8.5
1981.2643835616439,8.5
1981.272328767123,8.9
1981.2750684931505,8.5
1981.2797260273976,8.8
1981.2861643835622,8.7
1981.3052054794518,8.5
1981.3079452054792,8.5
1981.313424657534,8.5
1981.3164383561643,8.5
1981.319835616439,9.6
1981.3216164383566,8.8
1981.327123287671,8.5
1981.3298630136983,8.6
1981.3308493150678,8.8
1981.3380821917806,9.0
1981.3554794520549,8.8
1981.3571780821921,9.0
1981.3855068493149,9.6
1981.4074794520548,9.7
1981.4321095890416,8.9
1981.5921917808216,8.6
1981.6113424657538,8.8
1981.665945205479,9.0
1981.7263835616436,8.8
1981.7345205479455,8.7
1981.7619178082193,8.2
1981.7619178082193,8.5
1981.7654794520545,8.4
1981.7789041095884,8.4
1981.8493972602735,8.6
1981.8526027397265,8.4
1981.8821917808218,8.6
1981.8946301369865,8.8
1981.8961643835619,8.8
1981.9146575342468,8.4
1981.9178082191781,8.2
1981.9208219178086,8.7
1981.926849315068,8.4
1981.9301095890416,8.5
1981.9345205479456,8.5
1981.9547123287678,8.6
1981.9586301369861,8.3
1981.964383561644,8.6
1981.9652054794515,8.6
1981.9666849315065,8.4
